Eq ID,Formulation,Source / Context,Verification Status,Simulation IDs Affected,Environment / Material Tags
EQ‑016,"V(\\phi) = \\tfrac{1}{2} m_{\\phi}^2 \\phi^2 + \\lambda \\phi^4 + \\eta \\phi T",Scalar field potential,"Theoretical, candidate",SIM‑SCALAR‑01,"Scalar field, collapse overlay"
EQ‑017,"\\rho_{\\text{overlay}} = \\tfrac{1}{2} \\dot{\\phi}^2 + V(\\phi)",Effective overlay density,"Theoretical, candidate",SIM‑SCALAR‑02,"Energy density, scalar collapse"
EQ‑018,"\\omega_{\\gamma} > \\omega_{p} \\cdot \\Theta(T, \\mathbf{B}, \\rho_{\\text{m}})",Plasma transparency condition,Observational (telescope datasets),SIM‑PLASMA‑01,"Photon frequency, plasma frequency"
EQ‑019,"\\tau = \\int \\sigma(\\nu)\\,n(s)\\,ds \\quad;\\quad \\tau < \\tau_{\\text{gate}}",Optical depth corridor,Observational (plasma transparency),SIM‑PLASMA‑02,"Optical depth, transparency gate"
EQ‑020,"D_{\\text{eff}} = D_0 \\cdot \\Psi(T, \\alpha, \\rho_{\\text{m}}, \\mathbf{B})",Effective diffusion coefficient,"Theoretical, candidate",SIM‑DIFF‑01,"Diffusion, corridor conditioning"
EQ‑021,"\\mathbf{J} = -D_{\\text{eff}} \\nabla n",Flux under corridor constraints,Observational (material overlays),SIM‑DIFF‑02,"Particle flux, diffusion corridor"
EQ‑022,"E = \\frac{m}{\\mu \\cdot \\varepsilon} \\cdot \\Xi(T, \\alpha, \\mathbf{B}, \\mathbf{E})",Coalition energy relation,"Theoretical, candidate",SIM‑ENERGY‑01,"Collapse‑native reinterpretation, permeability, permittivity"
EQ‑023,"E_{\\text{legacy}} = mc^2 \\quad \\Longleftrightarrow \\quad \\Xi \\approx \\mu \\cdot \\varepsilon \\cdot c^2",Legacy bridge,"Legacy physics, coalition bridge",SIM‑ENERGY‑02,Legacy vs coalition comparison
EQ‑024,"\\frac{d\\theta}{dt} = \\Upsilon(T, \\alpha, \\rho_{\\text{E}}, \\rho_{\\text{m}})",Phase evolution,"Theoretical, candidate",SIM‑PHASE‑01,"Phase gating, corridor evolution"
EQ‑025,"\\theta \\in \\{\\theta_{\\text{init}}, \\theta_{\\text{growth}}, \\theta_{\\text{sat}}, \\theta_{\\text{breach}}, \\theta_{\\text{rec}}\\}",Gate transitions,Observational (seismic resonance analog),SIM‑PHASE‑02,"Collapse phases, modular transitions"
